simulations,mean_loss_dollars,standard_deviation_dollars,var_99_dollars,var_99_9_dollars,pearson_loss_correlation
10000,0.94035800,4.67454299,14.98000000,61.95000000,0.15998235
100000,0.92154400,4.66619939,14.98000000,61.95000000,0.20019420
1000000,0.92259515,4.63477649,14.98000000,61.95000000,0.20439270
